k,Antes de ENN,Después de ENN
1,14.0028,100.0
2,85.597122,98.551064
3,14.0028,100.0
4,14.042809,99.430199
5,14.0028,99.714287
6,74.65493,92.872452
7,69.573914,90.080505
8,83.296654,97.598465
9,86.497299,98.381126
10,89.177834,98.945709
11,90.478096,99.380943
12,90.798157,99.537346
13,91.118225,99.604828
14,91.178238,99.583145
15,91.278252,99.605522
16,91.358276,99.627762
17,91.338264,99.649582
18,91.358276,99.605873
19,91.358276,99.605873
20,91.338264,99.583885
21,91.338264,99.583885
22,91.358276,99.51828
23,91.31826,99.452354
24,91.298256,99.430321
25,91.278252,99.452118
26,91.258255,99.408157
27,91.218246,99.385963
28,91.198242,99.385826
29,91.198242,99.341957
30,91.178238,99.341812
31,91.158226,99.319725
32,91.118225,99.27552
33,91.118225,99.27552
34,91.118225,99.187706
35,91.098221,99.187531
36,91.058212,99.209145
37,91.058212,99.187172
38,91.058212,99.121269
39,91.018204,99.0989
40,90.998199,99.098701
41,90.998199,99.076721
42,90.978195,99.076515
43,90.958191,99.032333
44,90.938187,99.03212
45,90.898178,98.987671
46,90.878174,98.943428
47,90.85817,98.921181
48,90.838173,98.920944
49,90.838173,98.920944
50,90.838173,98.854874
51,90.838173,98.8769
52,90.798157,98.854378
53,90.758148,98.831825
54,90.738144,98.765434
55,90.718147,98.76516
56,90.698143,98.720779
57,90.698143,98.720779
58,90.678139,98.698433
59,90.658134,98.676079
60,90.618118,98.675499
61,90.598122,98.631042
62,90.578117,98.608658
63,90.578117,98.564491
64,90.558113,98.586258
65,90.538109,98.585945
66,90.518105,98.585632
67,90.4981,98.519012
68,90.4981,98.541115
69,90.458092,98.496239
70,90.458092,98.452011
71,90.418083,98.451324
72,90.438087,98.42955
73,90.398079,98.406723
74,90.378075,98.362106
75,90.378075,98.362106
76,90.398079,98.318214
77,90.35807,98.317467
78,90.338066,98.272804
79,90.278053,98.227348
80,90.258049,98.226952
81,90.238045,98.226562
82,90.238045,98.160049
83,90.198044,98.159233
84,90.198044,98.114883
85,90.198044,98.070526
86,90.158035,98.025291
87,90.158035,98.025291
88,90.17804,97.981361
89,90.118019,98.024414
90,90.078011,97.979126
91,90.078011,97.979126
92,90.058014,97.93425
93,90.018005,97.933334
94,90.018005,97.888885
95,89.977997,97.843483
96,89.998001,97.821739
97,89.977997,97.821251
98,89.977997,97.776787
99,89.957993,97.754059
100,89.957993,97.754059
101,89.957993,97.754059
102,89.89798,97.730309
103,89.89798,97.708054
104,89.89798,97.708054
105,89.89798,97.641304
106,89.857971,97.640251
107,89.837967,97.617462
108,89.777962,97.593582
109,89.777962,97.571304
110,89.777962,97.526733
111,89.737946,97.481056
112,89.717941,97.458199
113,89.697937,97.457626
114,89.677933,97.434753
115,89.657936,97.434181
116,89.637932,97.388977
117,89.617928,97.38839
118,89.617928,97.38839
119,89.557907,97.319633
120,89.557907,97.341972
121,89.557907,97.297302
122,89.557907,97.297302
123,89.557907,97.252625
124,89.517906,97.273743
125,89.477898,97.227814
126,89.437889,97.204201
127,89.397881,97.180573
128,89.377876,97.179947
129,89.377876,97.135185
130,89.357872,97.089767
131,89.357872,97.044998
132,89.357872,97.000221
133,89.357872,96.977837
134,89.317863,96.998886
135,89.297859,97.020607
136,89.257851,96.952042
137,89.257851,96.929626
138,89.217842,96.90583
139,89.217842,96.883408
140,89.197838,96.905136
141,89.197838,96.860283
142,89.137825,96.835724
143,89.137825,96.835724
144,89.097824,96.789398
145,89.097824,96.722046
146,89.07782,96.721306
147,89.07782,96.698853
148,89.037804,96.697372
149,89.037804,96.607506
150,89.017799,96.629211
151,89.017799,96.584274
152,88.957794,96.536995
153,88.977798,96.537766
154,88.917786,96.512939
155,88.93779,96.491226
156,88.897774,96.467148
157,88.877777,96.466354
158,88.857773,96.443047
159,88.837769,96.419731
160,88.79776,96.373055
161,88.79776,96.305473
162,88.79776,96.328003
163,88.79776,96.328003
164,88.757751,96.281273
165,88.737747,96.257889
166,88.697739,96.23365
167,88.717743,96.211952
168,88.677734,96.165123
169,88.677734,96.142563
170,88.65773,96.141693
171,88.637726,96.140823
172,88.617722,96.162529
173,88.617722,96.117386
174,88.617722,96.09481
175,88.617722,96.04966
176,88.597717,96.003609
177,88.537704,96.0009
178,88.537704,96.0009
179,88.557716,95.979218
180,88.537704,95.955719
181,88.537704,95.933121
182,88.497696,95.840866
183,88.497696,95.840866
184,88.457695,95.816376
185,88.437691,95.81543
186,88.417686,95.814476
187,88.417686,95.769234
188,88.357666,95.766357
189,88.357666,95.698441
